state,label,n,state_n,pct,p05,p50,p95,dated_n,s_p05,s_p50,s_p95,outlier_flags,status_details,cleaning_action
CT,ACTIVE / PENDING_INACTIVE / Pending Merger,3,1299546,0.0,1972.0,2000.0,2013.0,3.0,1976,2010,2025,RARE: <0.01% of state,Pending Merger,
CT,ACTIVE / (none) / Active - Pending Domestication,2,1299546,0.0,2018.0,2018.0,2026.0,2.0,1976,2010,2025,RARE: <0.01% of state,Active - Pending Domestication,
CT,ACTIVE / PENDING_INACTIVE / Ready for Revocation,2,1299546,0.0,2009.0,2009.0,2013.0,2.0,1976,2010,2025,RARE: <0.01% of state,Ready for Revocation,
CT,ACTIVE / PENDING_INACTIVE / Pending Conversion,1,1299546,0.0,2019.0,2019.0,2019.0,1.0,1976,2010,2025,RARE: <0.01% of state,Pending Conversion,
DC,INACTIVE / (none) / Revoked,332712,527333,63.093,1925.0,2001.0,2023.0,332712.0,1940,2007,2025,,Revoked,
DC,ACTIVE / (none) / Active - In Good Standing,116749,527333,22.14,1989.0,2020.0,2026.0,116749.0,1940,2007,2025,,Active - In Good Standing,
DC,INACTIVE / DISSOLVED / Dissolved,32778,527333,6.216,1960.0,2006.0,2023.0,32777.0,1940,2007,2025,,Dissolved,
DC,INACTIVE / (none) / Withdrawn,31109,527333,5.899,1957.0,2003.0,2022.0,31109.0,1940,2007,2025,,Withdrawn,
DC,INACTIVE / (none) / Merged,5623,527333,1.066,1955.0,1984.0,2007.0,5623.0,1940,2007,2025,,Merged,
DC,INACTIVE / (none) / Inactive - Cancelled,2783,527333,0.528,1982.0,2002.0,2009.0,2783.0,1940,2007,2025,,Inactive - Cancelled,
DC,INACTIVE / (none) / Deprecate,2179,527333,0.413,1928.0,2011.0,2018.0,2179.0,1940,2007,2025,,Deprecate,
DC,INACTIVE / (none) / Terminated,926,527333,0.176,1972.0,1984.0,2002.0,926.0,1940,2007,2025,,Terminated,
DC,INACTIVE / (none) / Expired,697,527333,0.132,1965.0,1980.0,1991.0,697.0,1940,2007,2025,RETIRED: 95% of filings before 1991 (state median 2007),Expired,
DC,ACTIVE / (none) / Domesticated,621,527333,0.118,1982.0,2019.0,2025.0,620.0,1940,2007,2025,,Domesticated,
DC,ACTIVE / (none) / Active,518,527333,0.098,1898.0,1990.0,2023.0,518.0,1940,2007,2025,,Active,
DC,INACTIVE / (none) / Canceled,218,527333,0.041,1979.0,1989.0,1998.0,218.0,1940,2007,2025,,Canceled,
DC,INACTIVE / (none) / Consolidated,145,527333,0.027,1965.0,1989.0,2007.0,145.0,1940,2007,2025,,Consolidated,
DC,ACTIVE / (none) / Active - Not in Good Standing,136,527333,0.026,1999.0,2021.0,2026.0,136.0,1940,2007,2025,,Active - Not in Good Standing,
DC,INACTIVE / (none) / Converted,122,527333,0.023,1964.0,2012.0,2023.0,122.0,1940,2007,2025,,Converted,
DC,UNKNOWN / (none) / Domestic,7,527333,0.001,2011.0,2023.0,2025.0,4.0,1940,2007,2025,RARE: <0.01% of state,Domestic,
DC,UNKNOWN / (none) / Foreign,4,527333,0.001,,,,,1940,2007,2025,RARE: <0.01% of state,Foreign,
DC,INACTIVE / PENDING_ACTIVE / Redeemed,3,527333,0.001,2011.0,2012.0,2014.0,3.0,1940,2007,2025,RARE: <0.01% of state,Redeemed,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
DC,INACTIVE / (none) / (none),2,527333,0.0,2007.0,2007.0,2020.0,2.0,1940,2007,2025,RARE: <0.01% of state,(none),
DC,UNKNOWN / (none) / Active - In Good Standing - Pending Domestication,1,527333,0.0,1976.0,1976.0,1976.0,1.0,1940,2007,2025,RARE: <0.01% of state,Active - In Good Standing - Pending Domestication,
DE,UNKNOWN / (none) / (none),6067435,6067435,100.0,1987.0,2015.0,2025.0,6059626.0,1987,2015,2025,,(none),
FL,INACTIVE / (none) / (none),8725512,13003380,67.102,1975.0,2009.0,2023.0,8723548.0,1979,2014,2025,,(none),
FL,ACTIVE / (none) / (none),4277868,13003380,32.898,2001.0,2022.0,2026.0,4277851.0,1979,2014,2025,,(none),
GA,INACTIVE / DISSOLVED / Admin. Dissolved,2299434,4411030,52.129,1979.0,2012.0,2023.0,2299429.0,1984,2017,2025,,Admin. Dissolved,
GA,ACTIVE / GOOD_STANDING / Active/Compliance,1429313,4411030,32.403,1999.0,2021.0,2026.0,1429310.0,1984,2017,2025,,Active/Compliance,
GA,ACTIVE / GOOD_STANDING / Active/Noncompliance,197693,4411030,4.482,2010.0,2024.0,2025.0,197693.0,1984,2017,2025,,Active/Noncompliance,
GA,INACTIVE / DISSOLVED / Dissolved,125076,4411030,2.836,1972.0,2003.0,2018.0,125076.0,1984,2017,2025,,Dissolved,
GA,INACTIVE / (none) / Terminated,116683,4411030,2.645,2006.0,2018.0,2024.0,116683.0,1984,2017,2025,,Terminated,
GA,INACTIVE / (none) / Withdrawn,82143,4411030,1.862,1978.0,2005.0,2022.0,82143.0,1984,2017,2025,,Withdrawn,
GA,INACTIVE / (none) / Revoked,76279,4411030,1.729,1989.0,2012.0,2023.0,76278.0,1984,2017,2025,,Revoked,
GA,INACTIVE / (none) / Merged,23456,4411030,0.532,1961.0,1990.0,2014.0,23456.0,1984,2017,2025,,Merged,
GA,INACTIVE / (none) / Inactive,21705,4411030,0.492,1989.0,2002.0,2021.0,21705.0,1984,2017,2025,,Inactive,
